name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
"Tasty Treat-Sreenagor ,Munshiganj",Sreenagor,none,Munsiganj,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Ghatail ,Tangail",Ghatail Main Road,none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Kalihati, Tangail","House-18,Road- Kalihati main road",none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Modhupur, Tangail","Rasel khan tower,Road- Modhupur bus stand",none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Alenga , Tangail","1403, Elenga Bus Stand, kalihati",none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Old Bus stand , Tangail","7, Mobarak complex , Old bus stand",none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Akurtakur para, Tangail",Akurtakur para,none,Tangail,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Chasara, Narayangonj","Shop no-103, Al Joynal Trade Center, Chasara",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Sonargaon, Narayangonj","Anwar Mangil, Bara Nagar, Sonar Gaon",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Hirajheel , Shiddirganj","Friends Garden, Hirajheel Main Road, East Shiddhir Gonj, CTG Road",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Nayahati, Shiddhirgonj","191, Amin Market, Mukti Nagar, Naya Hati, Shiddir Gong",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Demra Konapara,"Holding No. 1, Momenbug Chowrasta, Vharadagail, Konapara road, Jatrabari",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Demra Staff quarter,Demra","Hazinagar high school road, staff quarter, Demra",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Staff Quarter Bus stand ,Dhaka","M A Gafur Square Market , Staff quarter bus stand , Demra",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-Sonir Akhra,"Abedin Bhaban, Ground Floor, Shop#1/1, Sonir Akhra, Kadamtoli, Donia",none,Dhaka,RFL,30,2,359505,Digital weight scale,none,none
Tasty Treat-Rayer Bag Bus stand ,"Plot : 1362,Word no : 61 Mahmudul Haq khan Plaza ,Rayer Bag Bus stand ",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Sonir Akhra-2 ,Dhaka","New -50 ,Old - 36/B,Zia Shoroni ,Polashpur ,Sonir Akhra , 60 no. ward",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-Bhuigar, Fatulla, Narayangonj","Aftab Uddin Road, Bhuigar Purbapara, Bhuigar, Fatullah",none,Narayanganj,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Wari,"21/12 Ranking Street, Wari",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Buddha Mondir,"32/2, Atish Dipankar Road, Sabujbag Buddha Mondir, Basabo",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Maniknagor,"114, Maniknagar Biswaroad",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Gandaria,"39/4, Old Sarafathgonj Lane, Gandaria",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Donia,"421, Anamika Bhaban, Nayapara, Donia",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Jatrabari,"101, Shahid Faruk Road, Jatrabari, Al Monir Bhaban",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Sontek , Jatrabari","326 , Habib khan Tower, sontek, Jatrabari",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Dholpur,Jatrabari","60/1/A, Bramon Chiron, Golapbagh, Dhalpur",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Modina bagh, Uttar Mugda","58/34/7/1 ,Madinabag,Uttar Mugda",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-North Jatrabari, Dhaka","72,  North Jatrabari",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Dolaipar Bazar, Dhaka","668, East Dolaipar Bazar, Kadamtoli",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Live Bakery Mugdha,"153-155, Family Hamid Tower, South Mugdha, Sabujbag",none,Dhaka,RFL,30,2,359505,Digital weight scale,none,none
Tasty Treat-TT-South Banasree,K -17 south Banasree main road,none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Khilgaon,"399/B Shahid Baki Road, khilgaon",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Goran,"76, East Goran, Khilgoan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Aftabnagar,"A/7, Aftabnagar Main Road, Merul Badda",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Banasree-E,"Plot No # 48, Road# 4, Banasree -E Block Main Road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Khilgoan Chowrasta,"401/A, Khilgoan Chowrasta, Khilgoan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Banasree-A,"Plot#5,7,11, Road#5/1, Block#A, Bonosree, Rampura",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
